Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-03-04 13:33:10

Analog Sample Count:,942,

Setup Text Information:,
ANALOG,,,,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,Ch 2,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(1),,,Pk-Pk(2),,,
Scale,100 mV/,,Scale,980 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,0.756,,Cur,1.49,,
Pos,0 V,,Pos,11.75 mV,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Coup,DC,,Noise Rej,Off,,Main Scale,430 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,BW,Off,,HF Rej,Off,,Main Delay,-2.93 ms,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,,,,Level,1.0625 V,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,,
Sample Number,Time (s),1 (VOLT),2 (VOLT),,
1,-0.00499986982,0.0286432190914638,-0.6629235194996,,
2,-0.004995390655,0.0261306560132653,-0.660461207386106,,
3,-0.00499091149,0.0236180929350667,-0.660461207386106,,
4,-0.004986432325,0.0206030172412284,-0.657998895272613,,
5,-0.00498195316,0.0185929667786695,-0.657998895272613,,
6,-0.004977473995,0.0160804037004709,-0.657998895272613,,
7,-0.00497299483,0.0145728658535518,-0.657998895272613,,
8,-0.004968515665,0.0123115590831731,-0.655536583159119,,
9,-0.0049640365,0.0120603027753532,-0.650611958932132,,
10,-0.004959557335,0.0108040212362539,-0.653074271045625,,
11,-0.00495507817,0.010552764928434,-0.650611958932132,,
12,-0.004950599005,0.0100502523127943,-0.645687334705144,,
13,-0.00494611984,0.0108040212362539,-0.645687334705144,,
14,-0.004941640675,0.0113065338518936,-0.645687334705144,,
15,-0.00493716151,0.0130653280066326,-0.640762710478157,,
16,-0.004932682345,0.0143216095457319,-0.635838086251169,,
17,-0.00492820318,0.0168341726239305,-0.638300398364663,,
18,-0.004923724015,0.0195979920099489,-0.635838086251169,,
19,-0.00491924485,0.0221105550881475,-0.630913462024182,,
20,-0.004914765685,0.0251256307819858,-0.633375774137676,,
21,-0.00491028652,0.0281407064758241,-0.628451149910688,,
22,-0.004905807355,0.0311557821696624,-0.625988837797195,,
23,-0.00490132819,0.0334170889400411,-0.623526525683701,,
24,-0.004896849025,0.0361809083260596,-0.623526525683701,,
25,-0.00489236986,0.0394472403277177,-0.621064213570207,,
26,-0.004887890695,0.0417085470980965,-0.621064213570207,,
27,-0.00488341153,0.0429648286371958,-0.621064213570207,,
28,-0.004878932365,0.0432160849450156,-0.618601901456714,,
29,-0.0048744532,0.0432160849450156,-0.618601901456714,,
30,-0.004869974035,0.0422110597137362,-0.618601901456714,,
31,-0.00486549487,0.040703521866817,-0.61613958934322,,
32,-0.004861015705,0.038944727712078,-0.618601901456714,,
33,-0.00485653654,0.0384422150964383,-0.618601901456714,,
34,-0.004852057375,0.0369346772495192,-0.61613958934322,,
35,-0.00484757821,0.0364321646338794,-0.613677277229726,,
36,-0.004843099045,0.0341708578635007,-0.611214965116233,,
37,-0.00483861988,0.0324120637087617,-0.613677277229726,,
38,-0.004834140715,0.030150756938383,-0.608752653002739,,
39,-0.00482966155,0.0273869375523645,-0.606290340889245,,
40,-0.004825182385,0.0238693492428865,-0.601365716662258,,
