Model: ,Oscilloscope DSO-X 2004A
Serial Number:,MY52491735
Address: ,USBInstrument2
Date: ,2026-02-25 14:41:57

Analog Sample Count:,959,

Setup Text Information:,
ANALOG,,,TRIGGER,,,HORIZONTAL,,,ACQUISITION,,,MEASUREMENTS,,,,,,,,,,,,
Ch 1,,,,,,,,,,,,Frequency(1),,,Frequency(2),,,Pk-Pk(2),,,Pk-Pk(1),,,
Scale,100 mV/,,Sweep Mode,Auto,,Mode,MAIN,,Mode,HRES,,Cur,No signal,,Cur,No signal,,Cur,No signal,,Cur,0.099,,
Pos,0 V,,Coup,DC,,Ref,CENT,,Realtime,On,,,,,,,,,,,,,,
Coup,DC,,Noise Rej,Off,,Main Scale,200 µs/,,Vectors,On,,,,,,,,,,,,,,
BW,Off,,HF Rej,Off,,Main Delay,-572 µs,,Persistence,Off,,,,,,,,,,,,,,
Inv,Off,,Holdoff,40.0 ns,,,,,,,,,,,,,,,,,,,,
Imp,1M Ohm,,Mode,EDGE,,,,,,,,,,,,,,,,,,,,
Probe,1 : 1,,Source,Ch 2,,,,,,,,,,,,,,,,,,,,
Skew,0 s,,Slope,POS,,,,,,,,,,,,,,,,,,,,
,,,Level,-66 mV,,,,,,,,,,,,,,,,,,,,

Analog Channels,,,,
Sample Number,Time (s),1 (VOLT),,
1,-0.001571875,0.0155778910848312,,
2,-0.0015697916675,0.0158291473926511,,
3,-0.001567708335,0.0150753784691915,,
4,-0.0015656250025,0.0148241221613716,,
5,-0.00156354167,0.0158291473926511,,
6,-0.0015614583375,0.0158291473926511,,
7,-0.001559375005,0.0160804037004709,,
8,-0.0015572916725,0.0165829163161106,,
9,-0.00155520834,0.0173366852395702,,
10,-0.0015531250075,0.0173366852395702,,
11,-0.001551041675,0.0173366852395702,,
12,-0.0015489583425,0.0188442230864894,,
13,-0.00154687501,0.0170854289317504,,
14,-0.0015447916775,0.0180904541630298,,
15,-0.001542708345,0.0183417104708496,,
16,-0.0015406250125,0.0173366852395702,,
17,-0.00153854168,0.0183417104708496,,
18,-0.0015364583475,0.0188442230864894,,
19,-0.001534375015,0.0173366852395702,,
20,-0.0015322916825,0.0165829163161106,,
21,-0.00153020835,0.0170854289317504,,
22,-0.0015281250175,0.0165829163161106,,
23,-0.001526041685,0.0170854289317504,,
24,-0.0015239583525,0.0168341726239305,,
25,-0.00152187502,0.0158291473926511,,
26,-0.0015197916875,0.0155778910848312,,
27,-0.001517708355,0.0158291473926511,,
28,-0.0015156250225,0.0140703532379121,,
29,-0.00151354169,0.0143216095457319,,
30,-0.0015114583575,0.0138190969300922,,
31,-0.001509375025,0.0130653280066326,,
32,-0.0015072916925,0.0133165843144525,,
33,-0.00150520836,0.0130653280066326,,
34,-0.0015031250275,0.0123115590831731,,
35,-0.001501041695,0.0113065338518936,,
36,-0.0014989583625,0.0118090464675333,,
37,-0.00149687503,0.0110552775440738,,
38,-0.0014947916975,0.0110552775440738,,
39,-0.001492708365,0.0108040212362539,,
40,-0.0014906250325,0.0103015086206142,,
41,-0.0014885417,0.0108040212362539,,
