Address,USB0::0x0957::0x0E0B::MY51260980::0::INSTR
Model,N9000A
Serial Number:,MY51260980
Firmware Version,A.10.52
Start Time,2026-02-25 12:39:26.397
Stop Time,2026-02-25 12:39:26.492
Time of Capture,2026-02-25 12:39:26.492
Start Frequency: ,10 MHz
Stop Frequency: ,20 MHz
Center Frequency: ,15 MHz
SpanX: ,10 MHz
Resolution Bandwidth: ,91 kHz
Video Bandwidth: ,91 kHz
Sweep Points: ,1001
Sweep Time: ,1.466666667 ms
Attenuation: ,10 dB
Reference Level: ,0 dBm
Scale Type: ,LOG
,
Frequency (Hz) ,Trace1 - [Clear Write] (V)
10000000,8.34204911370762E-06
10010000,8.29205237096176E-06
10020000,7.32435046302271E-06
10030000,5.2080322348047E-06
10040000,5.24580082128523E-06
10050000,5.41418421562412E-06
10060000,9.69795655691996E-06
10070000,1.04445371107431E-05
10080000,1.04351729532937E-05
10090000,9.45326337387087E-06
10100000,7.16448948878678E-06
10110000,4.6059608393989E-06
10120000,3.17564968099759E-06
10130000,3.12214433506597E-06
10140000,3.12310112349223E-06
10150000,2.9772427296848E-06
10160000,2.43449107983906E-06
10170000,1.77456456640357E-06
10180000,5.16555292051635E-06
10190000,7.67470464779763E-06
10200000,9.09260688786162E-06
10210000,9.22630079003284E-06
10220000,9.01643579709344E-06
10230000,7.92714490671642E-06
10240000,6.47520437269122E-06
10250000,5.01869453728432E-06
10260000,3.67038478543691E-06
10270000,3.13556574838003E-06
10280000,5.19779769092565E-06
10290000,6.06615230935859E-06
10300000,6.18690773990238E-06
10310000,6.08449681749335E-06
10320000,5.60224634682527E-06
10330000,5.06670585309621E-06
10340000,4.19068055634853E-06
10350000,2.59314219874796E-06
10360000,3.30076318277861E-06
10370000,3.44640102412086E-06
10380000,7.41115945857018E-06
10390000,9.38399443839444E-06
10400000,1.09220909507712E-05
10410000,1.15681350507657E-05
10420000,1.15769034891855E-05
10430000,1.12085481305257E-05
10440000,1.03715265140636E-05
10450000,9.68256335909246E-06
10460000,9.30984060687479E-06
10470000,8.80191964824917E-06
10480000,7.71878148952965E-06
10490000,6.22396646576817E-06
10500000,5.12698761667707E-06
10510000,4.76916193292709E-06
10520000,4.79724894830724E-06
10530000,4.80594280816149E-06
10540000,4.69874476038967E-06
10550000,3.96845325667528E-06
10560000,2.87103512164322E-06
10570000,2.72872739515151E-06
10580000,2.72054558081436E-06
10590000,2.42447322307271E-06
10600000,3.21350194099068E-06
10610000,3.34169021698472E-06
10620000,8.23642494651722E-06
10630000,1.10957162178238E-05
10640000,1.30001326397178E-05
10650000,1.33912080855225E-05
10660000,1.31992946990067E-05
10670000,1.13833657451323E-05
10680000,8.29888267617207E-06
10690000,5.04110857946216E-06
10700000,4.10540678785765E-06
10710000,4.20164224124164E-06
10720000,5.55147425984615E-06
10730000,5.39589927939232E-06
10740000,3.74780711354106E-06
10750000,2.69473480329907E-06
10760000,5.30344868820976E-06
10770000,5.55246379008167E-06
10780000,5.30031729795155E-06
10790000,3.62373066309374E-06
10800000,4.86705130242626E-06
10810000,4.97964219903224E-06
10820000,5.74981413592468E-06
10830000,5.43366695637815E-06
10840000,4.84233032693737E-06
10850000,4.84308566228719E-06
10860000,5.19712602908839E-06
10870000,5.23796643392416E-06
10880000,7.17298598829075E-06
10890000,8.45865997689543E-06
10900000,8.71704924065853E-06
10910000,8.5985866462579E-06
10920000,7.38444532544236E-06
10930000,6.05281047683093E-06
10940000,6.34177877145703E-06
10950000,6.38008714304306E-06
10960000,6.57992859487422E-06
10970000,6.16783427176415E-06
10980000,5.50073491467629E-06
10990000,4.85002374261967E-06
11000000,5.26520398125285E-06
11010000,5.35227400177973E-06
11020000,7.91155889601214E-06
11030000,8.56044243846554E-06
11040000,8.57337636261946E-06
11050000,8.31808665680001E-06
11060000,7.66571884014411E-06
11070000,6.91313744027866E-06
11080000,5.87921977057704E-06
11090000,4.69240922029712E-06
11100000,4.45043997387984E-06
11110000,4.50976813226589E-06
11120000,6.45502359475358E-06
11130000,7.02871147950646E-06
11140000,7.03615523889312E-06
11150000,6.50875745122903E-06
11160000,4.81993401990621E-06
11170000,3.63377557732747E-06
11180000,6.66842197460937E-06
11190000,8.37019615573809E-06
11200000,9.10724156710785E-06
11210000,9.15949931368232E-06
11220000,9.01466137293028E-06
11230000,8.38550477055833E-06
11240000,7.27549058865407E-06
11250000,5.88065904594259E-06
11260000,4.33976765634725E-06
11270000,2.66968777395959E-06
11280000,3.57597582478775E-06
11290000,3.76874163521279E-06
11300000,1.0061388820759E-05
11310000,1.32299055621843E-05
11320000,1.52531356434338E-05
11330000,1.57877984747756E-05
11340000,1.57238955580397E-05
11350000,1.426363542123E-05
11360000,1.10702003439656E-05
11370000,7.33425486032502E-06
11380000,7.30676629245863E-06
11390000,7.44885619496927E-06
11400000,9.20882121135946E-06
11410000,9.10693415789865E-06
11420000,7.81278140493669E-06
11430000,5.69408530282089E-06
11440000,4.77665253129089E-06
11450000,4.8636843530403E-06
11460000,8.17360523797106E-06
11470000,9.65023355092853E-06
11480000,1.00035367722739E-05
11490000,9.93461162579479E-06
11500000,8.90285718924133E-06
11510000,6.76869240123779E-06
11520000,3.87616955777048E-06
11530000,3.06268293570611E-06
11540000,6.73630165692884E-06
11550000,7.37148911866825E-06
11560000,7.32290209271014E-06
11570000,6.10801998846E-06
11580000,7.08674178895308E-06
11590000,7.2463203650841E-06
11600000,9.19876765692607E-06
11610000,9.05875731405104E-06
11620000,7.60263765187119E-06
11630000,5.71875352761708E-06
11640000,4.64118602394592E-06
11650000,4.52743597634253E-06
11660000,5.22059553986765E-06
11670000,5.27906104252907E-06
11680000,5.77336595597444E-06
11690000,5.54278085473925E-06
11700000,4.55488543593674E-06
11710000,3.10613904730417E-06
11720000,1.70079215422447E-06
11730000,1.17493243578792E-06
11740000,2.46538525061624E-06
11750000,3.06443962472258E-06
11760000,3.37464825861389E-06
11770000,3.6404585443961E-06
11780000,4.20540436607553E-06
11790000,4.89175272377906E-06
11800000,5.38612766831648E-06
11810000,5.44562772120116E-06
11820000,5.37647383680451E-06
11830000,4.90217416881933E-06
11840000,4.46635567641351E-06
11850000,4.53202710559708E-06
11860000,8.53609344630968E-06
11870000,1.08736121546826E-05
11880000,1.18435627882718E-05
11890000,1.18507568913628E-05
11900000,1.10918581412989E-05
11910000,8.92499974725069E-06
11920000,6.07164565735729E-06
11930000,4.02744444727432E-06
11940000,4.8321876420232E-06
11950000,4.94099822390126E-06
11960000,7.03830119164195E-06
11970000,7.149313660193E-06
11980000,6.9866923695372E-06
11990000,6.0718816712324E-06
12000000,5.429025804915E-06
12010000,5.47580521015334E-06
12020000,7.14736142981565E-06
12030000,7.96377116785152E-06
12040000,8.49211937747896E-06
12050000,8.52159791975282E-06
12060000,8.30399494589074E-06
12070000,7.53961421651184E-06
12080000,6.7565915742307E-06
12090000,6.19585625827312E-06
12100000,6.12361918683746E-06
12110000,6.157830284792E-06
12120000,7.63684602134163E-06
12130000,8.12392954685492E-06
12140000,8.12641883385368E-06
12150000,7.60716375225456E-06
12160000,6.47626393401879E-06
12170000,6.05151581112295E-06
12180000,7.16737667971756E-06
12190000,7.17820603313157E-06
12200000,6.65115703668562E-06
12210000,4.93279958391213E-06
12220000,2.79733944807958E-06
12230000,1.57753765961388E-06
12240000,3.31316937263182E-06
12250000,5.33585716766538E-06
12260000,7.1129179559648E-06
12270000,8.48043782752939E-06
12280000,9.26892516872613E-06
12290000,9.6546291388222E-06
12300000,1.00367369668675E-05
12310000,1.14315052996972E-05
12320000,1.38046925712842E-05
12330000,1.5570096365991E-05
12340000,1.58514030772494E-05
12350000,1.55890174937667E-05
12360000,1.39763333208975E-05
12370000,1.18236421258189E-05
12380000,9.71338067756733E-06
12390000,6.90157639837707E-06
12400000,4.84069823869504E-06
12410000,5.00134183312184E-06
12420000,9.05465731193544E-06
12430000,9.2585487436736E-06
12440000,8.96126311999979E-06
12450000,7.52420919525321E-06
12460000,6.73062595524243E-06
12470000,6.87184092384996E-06
12480000,6.85535997035913E-06
12490000,6.41828728475957E-06
12500000,6.43862949800678E-06
12510000,6.54018322165939E-06
12520000,1.03538795883651E-05
12530000,1.15573975563166E-05
12540000,1.1824758075818E-05
12550000,1.19571850518696E-05
12560000,1.23224454000592E-05
12570000,1.23819709187956E-05
12580000,1.2144088941568E-05
12590000,1.06592888187151E-05
12600000,7.80145637691021E-06
12610000,4.31307489634492E-06
12620000,5.413766757556E-06
12630000,5.60606304134126E-06
12640000,1.01693385659019E-05
12650000,1.14164777187398E-05
12660000,1.17387044156203E-05
12670000,1.17352383313118E-05
12680000,1.1480386092444E-05
12690000,1.12496663859929E-05
12700000,1.11486533569405E-05
12710000,1.06088100437773E-05
12720000,9.07116282178322E-06
12730000,6.60028445054195E-06
12740000,4.10017992180656E-06
12750000,2.40629742620513E-06
12760000,2.56169869317091E-06
12770000,2.64511936620693E-06
12780000,5.57625162400655E-06
12790000,6.74808097755886E-06
12800000,7.02254510542843E-06
12810000,7.00570262779365E-06
12820000,7.18503952157334E-06
12830000,8.39801032270771E-06
12840000,9.47198441281216E-06
12850000,9.70569089986384E-06
12860000,9.60119450610364E-06
12870000,8.56275073601864E-06
12880000,6.65667221255717E-06
